cwvScore,loadState,invoker,invokeCategory
520,dom-content-loaded,https://securepubads.g.doubleclick.net/tag/js/gpt.js,other
520,dom-content-loaded,XMLHttpRequest.onload,other
520,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/4028.d516d8e5bdc82258.js,hdm miscellaneous
520,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/451.ed61572fa4874a6,hdm miscellaneous
520,dom-content-loaded,TimerHandler:setTimeout,other
520,dom-content-loaded,DOMWindow.onmessage,domcument-body-DOMWindow
520,dom-content-loaded,DOMWindow.onmessage,domcument-body-DOMWindow
520,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
520,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
520,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
520,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.,_templates
520,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
520,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
520,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
520,complete,,
520,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
520,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
520,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,complete,#document.onclick,domcument-body-DOMWindow
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,dom-content-loaded,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/media/cmp.script.a020e6f8.js,hdm miscellaneous
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
528,complete,TimerHandler:setTimeout,other
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
528,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
528,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,complete,DOMWindow.onmessage,domcument-body-DOMWindow
528,complete,https://www.googletagservices.com/activeview/js/current/rx_omid_video.js,other
528,dom-content-loaded,https://www.popularmechanics.com/_assets/moapt/2.210.0/moapt-bidder-pb-hdm.8.51.0.js,other
528,dom-content-loaded,SCRIPT[src=/_assets/moapt/2.210.0/moapt-bidder-pb-hdm.8.51.0.js].onload,script
528,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/4028.d516d8e5bdc82258.js,hdm miscellaneous
528,dom-content-loaded,https://www.popularmechanics.com/_asset,other
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
528,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,dom-content-loaded,TimerHandler:setTimeout,other
528,dom-content-loaded,IntersectionObserverCallback,other
528,dom-content-loaded,https://www.popularmechanics.com/_assets/moapt/2.210.0/moapt-bidder-pb-hdm.8.51.0.js,other
528,dom-content-loaded,SCRIPT[src=/_assets/moapt/2.210.0/moapt-bidder-pb-hdm.8.51.0.js].onload,script
528,dom-content-loaded,FrameRequestCallback,other
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
528,complete,https://www.popularmechanics.com/_assets/oply/public/21018620252/s/us_popularmechanics.js,other
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
528,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
528,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/9649-a1f0cd6a77167b36.js,hdm miscellaneous
528,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/1195.3441a0c812024611.js,hdm miscellaneous
528,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/media/cmp.script.a020e6f8.js,hdm miscellaneous
528,dom-content-loaded,FrameRequestCallback,other
528,dom-content-loaded,,
528,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
528,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,dom-content-loaded,FrameRequestCallback,other
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
528,loading,https://www.popularmechanics.com/science/environment/a61585473/single-ancestor-life-earth-luca-discovery/,other
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
536,complete,IntersectionObserverCallback,other
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/5149-5c0634fa39c277cf.js,hdm miscellaneous
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9,_templates
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
536,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
536,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/4028.d516d8e5bdc82258.js,hdm miscellaneous
536,dom-content-loaded,https://cdn.cookielaw.org/scripttemplates/202402.1.0/otBannerSdk.js,other
536,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/451.ed61572fa4874a6d.js,hdm miscellaneous
536,dom-content-loaded,https://www.popularmechanics.com/,other
536,complete,DOMWindow.onmessage,domcument-body-DOMWindow
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
536,dom-interactive,,
536,complete,TimerHandler:setTimeout,other
536,complete,,
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
536,dom-content-loaded,FrameRequestCallback,other
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
536,complete,TimerHandler:setTimeout,other
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/webpack-286fc9ef8829ac3c.js,hdm miscellaneous
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
536,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
536,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
544,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
544,dom-interactive,XMLHttpRequest.onload,other
544,dom-interactive,https://www.popularmechanics.com/science/environment/a61585473/single-ancestor-life-earth-luca-discovery/,other
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb5090,app.js
544,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
544,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
544,dom-interactive,https://cdn.cookielaw.org/scripttemplates/otSDKStub.js,other
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
544,dom-interactive,https://www.popularmechanics.com/_ass,other
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
544,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
544,complete,https://www.popularmechanics.com/_assets/oply/public/21018620252/s/us_popularmechanics.js,other
544,complete,TimerHandler:setTimeout,other
544,complete,TimerHandler:setTimeout,other
544,complete,TimerHandler:setTimeout,other
544,complete,TimerHandler:setTimeout,other
544,complete,TimerHandler:setTimeout,other
544,complete,TimerHandler:setTimeout,other
544,complete,invoker_7,other
544,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
544,dom-content-loaded,https://cdn.cookielaw.org/scripttemplates/202402.1.0/otBannerSdk.js,other
544,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/media/cmp.script.a020e6f8.js,hdm miscellaneous
544,dom-content-loaded,FrameRequestCallback,other
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
544,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
544,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
